name,cph_130,cph_155,cph_180,cph_205
"Aerobics, general",384,457,531,605
"Aerobics, high impact",413,493,572,651
"Aerobics, low impact",295,352,409,465
"Aerobics, step aerobics",502,598,695,791
"Archery",207,246,286,326
"Backpacking, Hiking with pack",413,493,572,651
"Badminton",266,317,368,419
"Bagging grass, leaves",236,281,327,372
"Bakery, light effort",148,176,204,233
"Ballet, twist, jazz, tap",266,317,368,419
"Ballroom dancing, fast",325,387,449,512
"Ballroom dancing, slow",177,211,245,279
"Barry's bootcamp",977,1000,1100,1200
"Basketball game, competitive",472,563,654,745
"Basketball, playing, non game",354,422,490,558
"Basketball, shooting baskets",266,317,368,419
"Basketball, wheelchair",384,457,531,605
"Bathing dog",207,246,286,326
"Bird watching",148,176,204,233
"Boating, power, speed boat",148,176,204,233
"Bowling",177,211,245,279
"Boxing, in ring",708,844,981,1117
"Boxing, punching bag",354,422,490,558
"Boxing, sparring",531,633,735,838
"Calisthenics, light, pushups, situps",207,246,286,326
"Calisthenics, fast, pushups, situps",472,563,654,745
"Canoeing, camping trip",236,281,327,372
"Canoeing, rowing, light",177,211,245,279
"Canoeing, rowing, moderate",413,493,572,651
"Canoeing, rowing, vigorous",708,844,981,1117
"Carpentry, general",207,246,286,326
"Carrying 16 to 24 lbs, upstairs",354,422,490,558
"Carrying 25 to 49 lbs, upstairs",472,563,654,745
"Carrying heavy loads",472,563,654,745
"Carrying infant, level ground",207,246,286,326
"Carrying infant, upstairs",295,352,409,465
"Carrying moderate loads upstairs",472,563,654,745
"Carrying small children",177,211,245,279
"Children's games, hopscotch",295,352,409,465
"Circuit training, minimal rest",472,563,654,745
"Cleaning gutters",295,352,409,465
"Cleaning, dusting",148,176,204,233
"Climbing hills, carrying up to 9 lbs",413,493,572,651
"Climbing hills, carrying 10 to 20 lb",443,528,613,698
"Climbing hills, carrying 21 to 42 lb",472,563,654,745
"Climbing hills, carrying over 42 lb",531,633,735,838
"Coaching football,basketball,soccer",236,281,327,372
"Coal mining, general",354,422,490,558
"Construction, exterior, remodeling",325,387,449,512
"Crew, sculling, rowing, competition",708,844,981,1117
